fid,Артикул,Название товара,Дополнительное поле: Полное название товара,Дополнительное поле: Особенность,Полное описание,Цена продажи,Остаток,Изображения,Подкатегория 1,Подкатегория 2,Подкатегория 3,Подкатегория 4,Параметр: Бренд,Параметр: Ширина,Параметр: Высота,Параметр: Высота Упаковки,Параметр: Ширина Упаковки,Параметр: Глубина Упаковки,Параметр: Вес Брутто,Параметр: Объем Упаковки,Параметр: Цвет,Параметр: Материал,Параметр: Длина
74,KARE__20333,Каркас кровати City Spirit Individual Fabric2 16,Каркас кровати City Spirit Individual Fabric2 16,,"",433848,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20333-1400x1400-1.jpg,Бренды,KARE,Мебель,Кровати,KARE,192 ,153 ,,,,"70,000 ","1,610 ",,Каркас- массив пихты натуральный/необработанныйnБоковая часть- древесно волокнистая плита средней плотности натуральная/необработаннаяnНожки- массива бука лакированныйnМягкая набивка- 25 /м³ (полиуретан),221 
75,KARE__20336,Каркас кровати City Spirit Individual Fabric 2 1,Каркас кровати City Spirit Individual Fabric 2 1,,"<div class=""rs-product__link""> <a href=""http://service.kare-design.com/KARE-assembly-instruction-20336.pdf"" download target=""_blank""> <i class=""rs-icon-pdf""></i> <div class=""rs-product__link_title""> <h4 class=""m-medium-title"">Инструкция</h4> <span class=""link-size"">1,5 мб</span> </div> <i class=""rs-icon-download""></i> </a> </div>",461004,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20336-1400x1400-1.jpg,Бренды,KARE,Мебель,Кровати,KARE,212 ,153 ,,,,"76,000 ","1,680 ",,Каркас- массив пихты натуральный/необработанныйnБоковая часть- древесно волокнистая плита средней плотности натуральная/необработаннаяnНожки- массива бука лакированныйnМягкая набивка- 25 /м³ (полиуретан),221 
76,KARE__20354,Каркас кровати Desire Individual Fabric 160×200 см,Каркас кровати Desire Individual Fabric 160×200 см,,"",445916,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20354-1400x1400-1.jpg,Бренды,KARE,Мебель,Кровати,KARE,177 ,100 ,,,,"59,000 ","0,910 ",,Каркас- массив пихты натуральный/необработанныйnБоковая часть- древесно волокнистая плита средней плотности натуральная/необработаннаяnНожки- массива бука лакированныйnМягкая набивка- 25 /м³ (полиуретан),228 
77,KARE__20388,Кушетка Desire Individual Ткань 2,Кушетка Desire Individual Ткань 2,,"",343521,0,https://karedesign.ru/wp-content/uploads/2023/10/kare-20388-1400x1400-1.jpg,Бренды,KARE,Мебель,Диваны и кушетки,KARE,200 ,82 ,59 ,86 ,202 ,"46,000 ","1,025 ",,"Каркас- бук ламинированый, строительный брус натуральный/необработанный, массив сосны натуральный/необработанныйnМягкая набивка- 30 /м³ (полиуретан) nНожки- массива бука лакированныйnМаксимальная нагрузка100  n",85 
78,KARE__20393,Кресло Desire Individual Fabric 2,Кресло Desire Individual Fabric 2,,"",376933,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20393-1400x1400-1.jpg,Бренды,KARE,Мебель,Кресла,KARE,128 ,68 ,73 ,131 ,106 ,"70,000 ","1,010 ",,"Каркас- массива сосны натуральный/необработанный, ламинированый строительный брус натуральный/необработанныйnСидение- 25 /м³ (полиуретан)nЗадняя часть- 35 /м³ (полиуретан) nНожки- массив сосны лакированный",105 
79,KARE__20398,Диван трехместный Desire Individual 3-Seater Ткань 2,Диван трехместный Desire Individual 3-Seater Ткань 2,,"",563459,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-20398-1400x1400-1.jpg,Бренды,KARE,Мебель,Диваны и кушетки,KARE,245 ,68 ,72 ,244 ,109 ,"70,000 ","1,915 ",,"Корпус- сосна ламинированый строительный брус натуральный/необработанныйnНожки- массив сосны лакированныйnМягкая набивка- 30 /м³, 21 /м³, 25 /м³ (100% полиуретан)nМаксимальная нагрузка- 110 n25000 Martindale",100 
80,KARE__20429,Пуф круглый Desire Individual Ткань 2,Пуф круглый Desire Individual Ткань 2,,"",156282,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-20429-1400x1400-1.jpg,Бренды,KARE,Мебель,"Барные стулья, пуфы и табуреты",KARE,73 ,46 ,47 ,76 ,74 ,"16,000 ","0,263 ",,"",73 
81,KARE__20581,Диван круговой Individual 4-Seater Small Ткань 2,Диван круговой Individual 4-Seater Small Ткань 2,,"",660053,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20581-1400x1400-1.jpg,Бренды,KARE,Мебель,Диваны и кушетки,KARE,160 ,126 ,,,,"60,000 ","3,060 ",,"Каркас- массива бука натуральный/необработанный, массив пихты натуральный/необработанныйnМягкая набивка- 25 /м³ полиуретанnСидение- древесно волокнистая плита средней плотности натуральная/необработаннаяnНожки- массив бука лакированный",160 
82,KARE__20609,Диван трехместный Milchbar 3-Seater Individual Ткань 2,Диван трехместный Milchbar 3-Seater Individual Ткань 2,,"",454658,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-20609-1400x1400-1.jpg,Бренды,KARE,Мебель,Диваны и кушетки,KARE,233 ,83 ,64 ,232 ,86 ,"57,000 ","1,277 ",,"Каркас- береза древесно волокнистая плита средней плотности натуральная/необработанная, массив бука натуральный/необработанныйnСидение- 30 /м³ (полиуретан)nЗадняя часть- 25 /м³ (полиуретан)nНожки- массив березы лакированныйnРаскладывается на частиnВысота сиденья 44 nМаксимальная нагрузка 110  n",86 
83,KARE__20612,Каркас кровати Desire High Individual 160×200 см,Каркас кровати Desire High Individual 160×200 см,,"",499624,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-20612-1400x1400-1.jpg,Бренды,KARE,Мебель,Кровати,KARE,177 ,136 ,,,,"59,000 ","0,910 ",,Каркас- массив пихты натуральный/необработанныйnБоковая часть- древесно волокнистая плита средней плотности натуральная/необработанная nНожки- массив бука лакированныйnМягкая набивка- 25 /м³ полиуретан,228 
